id,name,artist,energy,liveness,tempo,speechiness,acousticness,instrumentalness,time_signature,danceability,key,duration_ms,loudness,valence,mode,uri
2SAqBLGA283SUiwJ3xOUVI,Laugh Now Cry Later (feat. Lil Durk),Drake,0.518,0.107,133.976,0.134,0.244,3.47e-05,4,0.761,0,261493,-8.871,0.522,1,spotify:track:2SAqBLGA283SUiwJ3xOUVI
2b8fOow8UzyDFAE27YhOZM,Memories,Maroon 5,0.32,0.0822,91.019,0.0546,0.837,0.0,4,0.764,11,189486,-7.209,0.575,1,spotify:track:2b8fOow8UzyDFAE27YhOZM
4HBZA5flZLE435QTztThqH,Stuck with U (with Justin Bieber),Ariana Grande,0.45,0.382,178.765,0.0418,0.223,0.0,3,0.597,8,228482,-6.658,0.537,1,spotify:track:4HBZA5flZLE435QTztThqH
2tnVG71enUj33Ic2nFN6kZ,Ride It,Regard,0.751,0.106,117.948,0.0874,0.177,6.43e-05,4,0.88,7,157606,-4.258,0.884,0,spotify:track:2tnVG71enUj33Ic2nFN6kZ
5itOtNx0WxtJmi1TQ3RuRd,Giant (with Rag'n'Bone Man),Calvin Harris,0.887,0.0811,122.015,0.0361,0.016,0.000503,4,0.807,1,229184,-4.311,0.606,0,spotify:track:5itOtNx0WxtJmi1TQ3RuRd
3Z8FwOEN59mRMxDCtb8N0A,Be Kind (with Halsey),Marshmello,0.633,0.0541,93.995,0.0457,0.00776,0.0,4,0.63,4,172762,-7.088,0.452,1,spotify:track:3Z8FwOEN59mRMxDCtb8N0A
2MbdDtCv5LUVjYy9RuGTgC,"WHATS POPPIN (feat. DaBaby, Tory Lanez & Lil Wayne) - Remix",Jack Harlow,0.723,0.185,145.013,0.26,0.0631,0.0,4,0.904,11,227478,-5.224,0.835,0,spotify:track:2MbdDtCv5LUVjYy9RuGTgC
6EDO9iiTtwNv6waLwa1UUq,POPSTAR (feat. Drake),DJ Khaled,0.56,0.134,163.071,0.261,0.057,0.0,4,0.8,5,200221,-4.818,0.45,0,spotify:track:6EDO9iiTtwNv6waLwa1UUq
7CHi4DtfK4heMlQaudCuHK,Lose Control,MEDUZA,0.526,0.14,123.935,0.0415,0.129,0.0,4,0.598,10,168387,-8.659,0.529,0,spotify:track:7CHi4DtfK4heMlQaudCuHK
3PfIrDoz19wz7qK7tYeu62,Don't Start Now,Dua Lipa,0.793,0.0951,123.95,0.083,0.0123,0.0,4,0.793,11,183290,-4.521,0.679,0,spotify:track:3PfIrDoz19wz7qK7tYeu62
6Qs4SXO9dwPj5GKvVOv8Ki,Dancing With A Stranger (with Normani),Sam Smith,0.52,0.222,102.998,0.0656,0.45,1.97e-06,4,0.741,8,171030,-7.513,0.347,1,spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki
2dpaYNEQHiRxtZbfNsse99,Happier,Marshmello,0.792,0.167,100.015,0.0452,0.191,0.0,4,0.687,5,214290,-2.749,0.671,1,spotify:track:2dpaYNEQHiRxtZbfNsse99
